多参数水体组份原位光谱分析系统保存数据

保存时间：2018年9月19日 星期三 11:36:48-447
数据个数：2048

波长/nm	DN值
748.9580	20859
749.3773	20964
749.7966	20932
750.2159	20828
750.6353	20813
751.0546	20760
751.4741	20636
751.8935	20496
752.3128	20415
752.7322	20420
753.1517	20303
753.5711	20175
753.9905	20130
754.4100	19974
754.8295	19880
755.2489	19657
755.6685	19511
756.0880	19508
756.5074	19371
756.9269	19226
757.3466	19175
757.7661	19201
758.1857	19192
758.6052	19258
759.0248	19322
759.4445	19416
759.8640	19392
760.2837	19462
760.7033	19589
761.1230	19620
761.5427	19727
761.9623	20240
762.3820	21022
762.8017	22167
763.2215	23197
763.6412	24101
764.0609	24647
764.4807	24766
764.9005	24629
765.3202	24104
765.7400	23372
766.1597	22523
766.5796	21496
766.9994	20519
767.4192	19617
767.8390	18872
768.2589	18217
768.6788	17682
769.0987	17275
769.5186	16992
769.9385	16704
770.3584	16512
770.7783	16262
771.1982	16164
771.6182	16097
772.0381	15955
772.4581	15811
772.8781	15732
773.2981	15582
773.7181	15452
774.1381	15385
774.5582	15326
774.9782	15145
775.3982	14991
775.8183	14818
776.2384	14649
776.6584	14507
777.0785	14389
777.4987	14274
777.9188	14231
778.3389	14176
778.7590	14068
779.1792	14031
779.5994	14061
780.0196	14025
780.4398	13988
780.8599	13981
781.2801	13983
781.7004	13978
782.1206	13854
782.5408	13677
782.9611	13556
783.3813	13471
783.8016	13486
784.2219	13435
784.6422	13435
785.0625	13314
785.4828	13208
785.9032	13163
786.3235	13177
786.7438	13187
787.1642	13343
787.5846	13530
788.0050	13734
788.4254	13856
788.8458	13907
789.2662	13912
789.6866	13756
790.1070	13496
790.5275	13410
790.9480	13235
791.3685	13089
791.7889	12921
792.2094	12714
792.6299	12525
793.0504	12392
793.4709	12318
793.8915	12287
794.3120	12241
794.7325	12168
795.1531	12166
795.5737	12269
795.9943	12302
796.4149	12357
796.8355	12447
797.2562	12581
797.6768	12603
798.0974	12562
798.5180	12478
798.9387	12316
799.3593	12291
799.7800	12201
800.2007	12031
800.6214	11997
801.0421	11881
801.4629	11769
801.8836	11709
802.3043	11706
802.7251	11675
803.1458	11581
803.5667	11500
803.9874	11458
804.4081	11435
804.8290	11466
805.2498	11488
805.6706	11518
806.0914	11492
806.5122	11504
806.9331	11514
807.3540	11453
807.7749	11376
808.1957	11364
808.6166	11279
809.0375	11254
809.4584	11143
809.8793	11021
810.3003	10942
810.7212	10859
811.1422	10807
811.5632	10806
811.9841	10735
812.4051	10663
812.8261	10550
813.2471	10505
813.6682	10439
814.0891	10400
814.5101	10417
814.9312	10492
815.3522	10495
815.7733	10527
816.1943	10606
816.6154	10766
817.0365	10913
817.4576	11078
817.8787	11246
818.2999	11485
818.7209	11893
819.1421	12520
819.5632	13153
819.9844	14066
820.4055	15342
820.8267	17165
821.2479	20264
821.6691	26079
822.0902	34005
822.5115	42482
822.9326	47944
823.3539	51187
823.7752	52248
824.1964	49937
824.6177	46501
825.0389	42612
825.4601	38571
825.8814	34900
826.3027	32340
826.7241	31410
827.1453	31407
827.5667	31563
827.9880	31225
828.4093	29979
828.8306	28032
829.2520	25814
829.6734	23608
830.0948	21312
830.5161	18961
830.9375	17020
831.3589	15509
831.7803	14414
832.2018	13862
832.6232	14011
833.0446	14970
833.4660	16379
833.8875	17830
834.3089	18973
834.7304	19353
835.1519	18950
835.5734	18070
835.9949	17087
836.4164	15904
836.8378	14690
837.2594	13507
837.6809	12381
838.1025	11391
838.5240	10654
838.9455	10141
839.3671	10007
839.7886	10092
840.2102	10292
840.6319	10424
841.0535	10387
841.4751	10180
841.8967	9776
842.3182	9292
842.7399	8891
843.1615	8465
843.5831	8061
844.0048	7674
844.4265	7334
844.8481	7028
845.2698	6810
845.6915	6615
846.1133	6487
846.5350	6312
846.9567	6166
847.3784	6072
847.8001	6008
848.2219	5910
848.6436	5809
849.0653	5696
849.4871	5627
849.9088	5605
850.3306	5605
850.7524	5512
851.1742	5454
851.5960	5415
852.0178	5372
852.4397	5312
852.8615	5263
853.2833	5225
853.7051	5167
854.1270	5097
854.5488	5081
854.9707	5049
855.3926	5099
855.8144	5089
856.2363	5009
856.6582	4947
857.0801	4956
857.5021	4951
857.9240	4953
858.3459	4935
858.7678	4937
859.1897	4928
859.6117	4899
860.0337	4871
860.4556	4912
860.8776	4914
861.2995	4862
861.7216	4857
862.1435	4917
862.5655	4887
862.9875	4873
863.4095	4944
863.8316	4997
864.2536	4993
864.6757	5028
865.0977	5045
865.5198	5073
865.9418	5079
866.3638	5122
866.7859	5152
867.2080	5134
867.6301	5109
868.0521	5104
868.4743	5110
868.8964	5196
869.3185	5268
869.7407	5279
870.1628	5274
870.5849	5317
871.0070	5337
871.4292	5374
871.8513	5413
872.2735	5473
872.6957	5517
873.1179	5548
873.5400	5570
873.9623	5597
874.3845	5624
874.8067	5657
875.2289	5687
875.6511	5808
876.0733	5972
876.4955	6111
876.9178	6217
877.3401	6401
877.7623	6623
878.1846	6992
878.6068	7451
879.0291	8165
879.4514	9291
879.8737	11188
880.2960	14402
880.7183	19990
881.1406	26939
881.5629	33015
881.9852	38831
882.4076	40351
882.8299	39489
883.2523	36889
883.6746	33516
884.0969	29747
884.5193	25841
884.9416	22192
885.3641	18943
885.7865	16218
886.2088	14046
886.6312	12425
887.0536	11142
887.4760	10182
887.8984	9430
888.3209	8801
888.7432	8342
889.1656	7971
